Summary,Issue Type,Description,Story Points,Priority,Labels,Assignee
Thiết lập Scrum board và Definition of Done,Task,"Tạo workflow Backlog đến Done; quy tắc review; liên kết Jira, GitHub và Figma; không đánh dấu Done nếu chưa có minh chứng.",2,High,process,
Thiết kế user flow mua nước hoa trên Figma,Story,Thiết kế luồng Home → Product detail → Cart → Checkout → Order history; có desktop và mobile.,5,High,"figma,customer",
Xây dựng design system Figma,Story,"Tạo color, typography, spacing, component và variants dùng chung.",5,Medium,"figma,design-system",
Tách backend theo routes controllers services models,Story,Không để SQL hoặc nghiệp vụ trong route/controller; cập nhật sơ đồ kiến trúc.,8,Highest,"backend,architecture",
Cài đặt đăng ký đăng nhập JWT,Story,"Hash password, phát JWT, endpoint current user và xử lý token hết hạn.",5,Highest,"backend,auth",
Phân quyền admin và quyền sở hữu đơn hàng,Story,"Bảo vệ product write, user list, order admin; user chỉ xem/hủy đơn của mình.",5,Highest,"backend,security",
Hoàn thiện REST API sản phẩm,Story,"List/detail/create/update/delete, validation sizes, giá, giảm giá và tồn kho.",5,High,"backend,product",
Hoàn thiện REST API thương hiệu và danh mục,Story,"CRUD brand/category, kiểm tra trùng slug và ngăn xóa dữ liệu đang được sử dụng.",5,High,"backend,catalog",
Hoàn thiện REST API đơn hàng,Story,"Transaction, giá từ DB, khóa tồn kho, trạng thái và hoàn kho khi hủy.",8,Highest,"backend,order",
Kết nối frontend khách hàng với REST API,Story,"Products, auth, profile, checkout, order history và xử lý lỗi 401.",8,High,"frontend,customer",
Kết nối dashboard admin với REST API,Story,"Product/brand/category CRUD, order status, user list, report và JWT admin.",8,High,"frontend,admin",
Viết OpenAPI và Swagger UI,Story,"Mô tả request, response, security cho 18 path và 26 operation hiện tại.",5,High,"backend,swagger",
Viết unit test và syntax check,Story,"Kiểm tra validation, JWT role, product, brand, category và OpenAPI coverage.",5,High,"test,quality",
Dockerize frontend backend SQL Server,Story,"Compose, volume, env, seed và Nginx reverse proxy; chụp docker compose ps.",8,Highest,"docker,devops",
Thiết lập GitHub Actions CI,Story,"npm ci, syntax check, unit test, Docker build và Compose validation.",5,High,"ci,github-actions",
Triển khai lên VPS qua GitHub Actions,Story,"SSH deploy, Docker Compose, domain/HTTPS, secrets, health check và rollback.",8,High,"cd,vps",
Cập nhật tài liệu kiến trúc và audit yêu cầu,Task,Rà soát ARCHITECTURE và REQUIREMENTS_AUDIT theo mã nguồn; PR có review chéo.,3,Medium,"docs,architecture",
Chạy kiểm tra và hoàn thiện validation report,Task,"Chạy npm check/test, Docker Compose, ghi kết quả thật và đính kèm log/ảnh.",3,High,"docs,test,evidence",
Regression test và chuẩn bị demo,Task,"Test end-to-end; chụp Swagger, Docker, Jira, Figma, Actions và URL VPS.",5,Highest,"qa,report",
